date,model,equity
2022-04-19,EQUAL_WEIGHT,2.8833046650692604
2022-04-20,EQUAL_WEIGHT,2.8153022657397644
2022-04-21,EQUAL_WEIGHT,2.7426023904149632
2022-04-22,EQUAL_WEIGHT,2.769627175314374
2022-04-25,EQUAL_WEIGHT,2.6420074501410955
2022-04-26,EQUAL_WEIGHT,2.6334022087903857
2022-04-27,EQUAL_WEIGHT,2.734988111200794
2022-04-28,EQUAL_WEIGHT,2.626270216734275
2022-04-29,EQUAL_WEIGHT,2.646167377762613
2022-05-02,EQUAL_WEIGHT,2.660976682215806
2022-05-03,EQUAL_WEIGHT,2.7515443686481946
2022-05-04,EQUAL_WEIGHT,2.6025466808895374
2022-05-05,EQUAL_WEIGHT,2.5702714295883164
2022-05-06,EQUAL_WEIGHT,2.4058542483092964
2022-05-09,EQUAL_WEIGHT,2.4138305804542983
2022-05-10,EQUAL_WEIGHT,2.3476451515609473
2022-05-11,EQUAL_WEIGHT,2.3347948828760487
2022-05-12,EQUAL_WEIGHT,2.4161656159494367
2022-05-13,EQUAL_WEIGHT,2.395705346893769
2022-05-16,EQUAL_WEIGHT,2.4828046918346773
2022-05-17,EQUAL_WEIGHT,2.3790701758726103
2022-05-18,EQUAL_WEIGHT,2.375234729177727
2022-05-19,EQUAL_WEIGHT,2.33288715858907
2022-05-20,EQUAL_WEIGHT,2.3787078240788353
2022-05-23,EQUAL_WEIGHT,2.3235869092106816
2022-05-24,EQUAL_WEIGHT,2.4444405134041474
2022-05-25,EQUAL_WEIGHT,2.5062901437308436
2022-05-26,EQUAL_WEIGHT,2.5936197434529675
2022-05-27,EQUAL_WEIGHT,2.594559146429293
2022-05-31,EQUAL_WEIGHT,2.5755312071528307
2022-06-01,EQUAL_WEIGHT,2.637403879997087
2022-06-02,EQUAL_WEIGHT,2.5575861674524685
2022-06-03,EQUAL_WEIGHT,2.55607648673474
2022-06-06,EQUAL_WEIGHT,2.612592069836278
2022-06-07,EQUAL_WEIGHT,2.5987158971012216
